0.0809782,1
0.142249,0
0.15297,1
0.179925,4
0.0938014,0
0.157841,0
0.156994,7
0.133781,3
0.245068,5
0.0964722,3
0.114853,8
0.0601359,9
0.13817,1
0.112664,3
0.0575641,3
0.105243,1
0.116119,2
0.112031,0
0.0948964,7
0.22362,5
0.18658,8
0.125868,6
0.200993,2
0.10831,0
0.121731,2
0.215479,3
0.133839,6
0.212856,9
0.231704,9
0.146496,7
0.244177,8
0.0486946,9
0.0916482,4
0.0754605,9
0.146132,2
0.173404,1
0.130448,3
0.112403,1
0.0378306,1
0.119764,4
0.0677816,9
0.154386,1
0.204172,4
0.153601,4
0.113132,2
0.148312,6
0.168556,3
0.195272,7
0.16872,7
0.183756,4
0.207939,7
0.135819,5
0.1,1
0.0516788,9
0.0791138,0
0.210016,2
0.225441,2
0.108258,3
0.17344,9
0.0802743,1
0.0826789,1
0.0982363,1
0.1,5
0.12066,0
0.153004,6
0.115933,3
0.117186,4
0.216013,8
0.0830854,1
0.186375,0
0.179828,3
0.223789,9
0.132254,6
0.18169,2
0.15838,6
0.184172,4
0.129891,7
0.083315,1
0.225916,4
0.225141,1
0.207319,5
0.173085,4
0.116226,8
0.147723,9
0.158951,2
0.085388,9
0.175103,9
0.155345,8
0.134694,9
0.121838,6
0.127201,3
0.1532,6
0.144865,4
0.112464,6
0.0971473,2
0.178828,9
0.181876,1
0.0933197,2
0.209974,0
0.119864,5
0.178353,9
0.0756327,2
0.170865,7
0.191267,7
0.162129,2
0.120764,8
0.152387,8
0.121104,5
0.165627,0
0.134671,6
0.202904,0
0.113216,0
0.0744489,2
0.109812,9
0.153071,0
0.203909,4
0.17833,7
0.20321,7
0.0898743,1
0.0695481,5
0.207641,7
0.0993153,9
0.213057,4
0.163087,6
0.152658,1
0.165187,5
0.166104,7
0.175229,6
0.0809662,1
0.142263,0
0.152998,1
0.179937,4
0.0938047,0
0.157864,0
0.157,7
0.133784,3
0.245119,5
0.0964714,3
0.114859,8
0.060148,9
0.138186,1
0.112655,3
0.0575655,3
0.105261,1
0.11614,2
0.112038,0
0.0949073,7
0.223628,5
0.186594,8
0.125891,6
0.201034,2
0.108357,0
0.12173,2
0.215532,3
0.13386,6
0.212898,9
0.231732,9
0.146504,7
0.244217,8
0.0486949,9
0.091657,4
0.0754645,9
0.146133,2
0.173439,1
0.13046,3
0.112413,1
0.0378176,1
0.119786,4
0.0677875,9
0.154419,1
0.20419,4
0.153613,4
0.113138,2
0.148315,6
0.16858,3
0.195276,7
0.168744,7
0.183752,4
0.207977,7
0.135893,5
0.1,1
0.0516767,9
0.0791244,0
